model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),storage_size,storage_type,graphics,Operating System,screen_size(inches),resolution (pixels),price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note
Dell Inspiron 5520 Laptop,Dell,12th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,79990,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop,Asus,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,14.0,2880 x 1800,70990,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
HP Pavilion 15-EG2019TX Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,2 GB NVIDIA GeForce MX550,Windows,15.6,1920 x 1080,78200,71,46,80,80,62.45,68.35,73.9,68.8,66.65,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i7,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,79990,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,64490,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,65990,68,70,55,80,68.75,67.05,69.15,67.65,67.8,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Lenovo IdeaPad 3 81WQ00MQIN Laptop,Lenovo,Celeron N4020,8,256,0,256,SSD,Intel Integrated UHD,Windows,15.6,1366 x 768,26585,22,25,55,65,34.75,37.45,45.6,39.6,35.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Dell G15-5520 Laptop,Dell,12th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,84990,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP Pavilion 15-EG2035TU Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,71999,71,25,80,80,53.0,63.1,71.8,63.55,60.35,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Acer Nitro 5 AN515-58 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,76109,71,70,55,80,69.5,68.1,70.05,68.55,68.85,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Asus TUF Gaming A15 2021 FA506QM-HN124W Laptop,Asus,Ryzen 9 5900HX,16,512,0,512,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,1920 x 1080,98900,84,78,80,80,80.1,80.9,81.0,80.7,80.8,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
Lenovo V15-IGL 82C3A008IH Laptop,Lenovo,Celeron N4020,4,256,0,256,SSD,Intel Integrated UHD,DOS,15.6,1920 x 1080,19990,22,25,30,65,31.0,31.2,39.35,33.35,30.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,16,256,1000,256,SSD,Intel UHD Graphics,Windows,14.0,1366 x 768,76900,68,25,80,65,50.0,59.8,65.65,59.65,57.05,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Dell Inspiron 3521 Laptop,Dell,Pentium N5030,8,256,0,256,SSD,Intel Integrated UHD,Windows,15.6,1366 x 768,32033,27,25,55,65,36.0,39.2,47.1,41.1,37.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,16,512,0,512,SSD,AMD Vega,Windows,16.0,1920 x 1200,62490,66,35,80,80,56.25,63.85,71.3,64.55,61.6,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 240 G8 Laptop,HP,11th Gen Core i5,8,512,0,512,SSD,Intel Integrated,Windows,14.0,1366 x 768,60618,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo E41-55 82FJ009JIH Laptop,Lenovo,Athlon Pro 3045B,4,0,1000,1000,HDD,Missing,DOS,14.0,1920 x 1080,18990,25,35,30,70,37.0,35.5,43.0,37.75,35.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP Pavilion 15-eh2018AU Laptop,HP,Ryzen 5 5625U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1920 x 1080,52490,66,30,55,80,50.25,56.35,64.55,57.05,55.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Pavilion 14-ec1003AU Laptop,HP,Ryzen 5,8,512,0,512,SSD,AMD Radeon Graphics,Windows,14.0,1920 x 1080,51990,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i7,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.3,1080 x 1920,113990,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Dell Vostro 3510 Laptop,Dell,11th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,54490,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook 15 X515MA-BR101W Laptop,Asus,Pentium Quad Core,4,0,1000,1000,HDD,Intel UHD,Windows,15.6,1366 x 768,23399,27,25,30,70,33.0,33.7,42.6,35.85,33.45,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.3,1080 x 1920,110990,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook 13 Slate OLED T3300KA-LQ111WS Laptop,Asus,Pentium Silver N6000,8,256,0,256,SSD,Intel UHD Graphics,Windows,13.3,1920 x 1080,43290,30,25,55,65,36.75,40.25,48.0,42.0,38.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Apple MacBook Air 2020 Z124J002KD Laptop,Apple,Apple M1,16,512,0,512,SSD,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,125990,75,58,80,80,68.85,72.75,76.3,73.0,71.65,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
HP 14s-fq1089au Laptop,HP,Ryzen 3 5300U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,14.0,1920 x 1080,40300,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 15s- fq4021TU Laptop,HP,11th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,55499,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Apple MacBook Air 2020 Z124J001KD Laptop,Apple,Apple M1,16,256,0,256,SSD,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,105990,75,58,80,65,66.6,70.5,71.05,70.0,69.4,Gaming,High Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Cocok untuk programming dan multitasking
HP 15s-eq2143au Laptop,HP,Ryzen 3 5300U,8,512,0,512,SSD,AMD Radeon AMD,Windows,15.6,1920 x 1080,39648,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,256,1000,256,SSD,2 GB NVIDIA MX350,Windows,15.6,1920 x 1080,62812,68,40,55,65,53.0,57.3,60.9,57.15,56.55,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Lenovo IdeaPad 3 82H801L7IN,Lenovo,11th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,37952,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Latitude 7410 Laptop,Dell,10th Gen Core i5,8,256,0,256,SSD,Intel UHD Graphics,Windows,14.0,1920 x 1080,77499,65,25,55,65,45.5,52.5,58.5,52.5,51.0,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP Pavilion 15-EC2145AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 3050,Windows,15.6,1920 x 1080,64990,72,65,55,80,67.5,67.2,69.85,67.6,67.7,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP Pavilion 15-ec2150AX Laptop,HP,Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,59910,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Dell Latitude 5420 Laptop,Dell,11th Gen Core i7,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,112000,78,42,80,80,62.4,69.8,75.6,69.9,67.9,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
HP 14s-dy2506TU Laptop,HP,11th Gen Core i3,8,256,0,256,SSD,Intel Integrated UHD,Windows,14.0,1920 x 1080,35490,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Lenovo IdeaPad 3 15ITL6 82H801L3IN Laptop,Lenovo,11th Gen Core i3,8,256,0,256,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,36001,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Infinix INBook X1 XL12 Laptop,Infinix,10th Gen Core i7,16,512,0,512,SSD,Intel Integrated UHD,Windows,14.0,1920 x 1080,46990,75,25,80,80,54.0,64.5,73.0,64.75,61.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook X415EA-EB372WS Laptop,Asus,11th Gen Core i3,8,256,1000,256,SSD,Intel UHD Graphics,Windows,14.1,1920 x 1080,38990,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Asus VivoBook 15 2021 X515JA-EJ362WS Laptop,Asus,10th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,32990,48,25,55,80,43.5,48.8,58.65,50.4,47.3,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Pavilion 15-dk2095TX Gaming Laptop,HP,11th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,61990,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Apple MacBook Pro 16 inch MK1A3HN Laptop,Apple,M1 Max 10-core CPU,32,1000,0,1000,SSD,32-core GPU,Mac,16.2,3456 x 2234,296894,90,35,95,95,66.75,78.25,87.5,78.5,75.25,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo V15 82C30052IH Laptop,Lenovo,Intel Celeron N4020,4,0,1000,1000,HDD,Intel Integrated UHD,DOS,15.6,1920 x 1080,21999,22,25,30,70,31.75,31.95,41.1,34.35,31.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,256,1000,256,SSD,Intel Integrated,Windows,15.6,1920 x 1080,41490,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP Pavilion 15-ec2008AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,58635,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Asus VivoBook 15 X515EA-BQ312TS Laptop,Asus,11th Gen Core i3,8,256,0,256,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,34994,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Xiaomi Mi Notebook Ultra Laptop,Xiaomi,11th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,3200 x 2000,62999,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
MSI Bravo 15 B5DD-043IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,512,SSD,4 GB AMD Radeon RX5500M,Windows,15.6,1920 x 1080,58500,72,30,55,80,51.75,58.45,66.35,58.85,57.2,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad 3 15ITL6 82H800U5IN Laptop,Lenovo,11th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,37600,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Xiaomi RedmiBook e-Learning Edition,Xiaomi,11th Gen Core i3,8,256,0,256,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,30990,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Realme Book Slim Laptop,Realme,11th Gen Core i3,8,256,0,256,SSD,Intel UHD Graphics,Windows,14.0,1440 x 2160,46990,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop,Lenovo,11th Gen Core i5,8,512,0,512,SSD,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,55850,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Acer Extensa EX215-31 Laptop,Acer,Intel Pentium N5030,4,0,1000,1000,HDD,Intel UHD Graphics 605,Windows,15.6,768 x 1366,21990,27,20,30,70,30.75,32.45,42.1,34.6,31.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Asus ROG Flow X13 GV301QH-K5462TS Gaming Laptop,Asus,AMD Ryzen 9,16,1000,0,1000,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,13.4,3840 x 2400,105990,88,58,80,95,74.35,79.55,85.45,79.9,78.45,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo Yoga 9i 82BG005JIN Laptop,Lenovo,11th Gen Core i7,16,1000,0,1000,SSD,Intel Iris Xe Graphics,Windows,14.0,3840 x 2160,172990,78,42,80,95,64.65,72.05,80.85,72.9,70.15,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Dell Inspiron 3501 Laptop,Dell,11th Gen Core i5,8,256,1000,256,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,61640,68,42,55,65,53.9,57.8,61.1,57.65,57.15,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Apple MacBook Air 2020 MGN73HN Laptop,Apple,Apple M1,8,512,0,512,SSD,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,109990,75,58,55,80,65.1,66.5,70.05,66.75,66.65,Gaming,High Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Dell Inspiron 3593 Laptop,Dell,10th Gen Core i3,4,0,1000,1000,HDD,Intel Integrated UHD,Windows,15.6,1920 x 1080,36990,48,25,30,70,38.25,41.05,48.9,42.15,40.8,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Microsoft Surface Laptop 3 1873,Microsoft,V4G-00021) Laptop ,8,128,0,128,SSD,AMD Radeon Vega 9,Windows,15.0,2496 x 1664,99990,35,30,55,50,38.0,41.0,44.75,41.75,39.75,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP EliteBook 840 G6,HP,7YY01PA) Laptop ,8,512,0,512,SSD,2 GB Radeon RX 550,Windows,14.0,1920 x 1080,146000,35,30,55,80,42.5,45.5,55.25,47.75,44.25,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Latitude 5320 2-in-1 Laptop,Dell,11th Gen Core i5,16,256,0,256,SSD,Intel UHD Graphics,Windows,13.3,1920 x 1080,87999,68,25,80,65,50.0,59.8,65.65,59.65,57.05,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Lenovo V15 ITL 82KBA03JIH Laptop,Lenovo,11th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,33990,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus VivoBook 15 X1500EA-EJ3381WS Laptop,Asus,11th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,39400,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Envy x360 15-ew0037TU Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,82999,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
HP 15s-eq2213AU Laptop,HP,AMD Ryzen 3 5300U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1920 x 1080,40960,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook Pro 16X OLED N7601ZM-MQ711WS Gaming Laptop,Asus,12th Gen Core i7,16,1000,0,1000,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,16.0,3840 x 2400,168990,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
HP Victus 16-d0310TX Gaming Laptop,HP,11th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,16.1,1920 x 1080,84419,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP Victus 15-fb0777AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,512,SSD,4 GB AMD Radeon RX 6500M Graphics,Windows,15.6,1920 x 1080,70816,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP Victus 16-d0311TX Gaming Laptop,HP,11th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,16.1,1920 x 1080,75990,68,58,80,80,67.1,70.3,74.2,70.9,69.2,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Dell G15-5520 D560897WIN9S Laptop,Dell,12th Gen Core i9,16,1000,0,1000,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,1920 x 1080,149899,95,78,80,95,85.1,87.0,89.55,87.0,86.9,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
HP Victus 16-e0333TX Gaming Laptop,HP,AMD Ryzen 5 5600H,16,512,0,512,SSD,6 GB NVIDIA GeForce RTX3060,Windows,16.1,1920 x 1080,92990,72,78,80,80,77.1,76.7,77.4,77.1,76.6,Gaming,High Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Lenovo Legion 5 Pro 82RG00ELIN Laptop,Lenovo,AMD Ryzen 7 6800H,16,1000,0,1000,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,16.0,2560 x 1600,159990,82,78,80,95,81.85,82.45,85.65,83.1,82.35,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
MSI Katana GF66 12UD Gaming Laptop,MSI,12th Gen Core i7,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050Ti,Windows,15.6,1920 x 1080,105000,81,70,80,80,75.75,77.85,79.3,77.8,77.35,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
MSI Pulse GL66 12UGSZOK Gaming Laptop,MSI,12th Gen Core i9,16,1000,0,1000,SSD,8 GB NVIDIA GeForce RTX 3070Ti,Windows,15.6,2560 x 1440,209000,95,84,80,95,87.8,88.5,90.15,88.5,88.7,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
HP Pavilion 15-eg2091TU Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,74098,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
HP Envy x360 15-ew0043TU 2-in-1 Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,99999,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
