model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),graphics,Operating System,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note,cpu_score_source,gpu_score_source
Infinix INBook X1 Slim Series XL21 Laptop,Infinix,10th Gen Core i3,8,512,0,Intel Integrated UHD Graphics,Windows,14.0,1920 x 1080,2,4,47,33490,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus TUF Gaming A15 FA506ICB-HN005W Laptop,Asus,Ryzen 7 4800H,8,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,8,16,68,69990,81.04,100.0,55,75,84.76,78.36,74.31,78.06,80.61,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus TUF Gaming F15 FX577ZM-HQ067WS Laptop,Asus,12th Gen Core i7,16,1000,0,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,2560 x 1440,14,20,81,122990,100.0,100.0,80,90,95.5,93.5,91.5,93.0,94.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Acer Aspire Vero AV15-51-5155 Laptop,Acer,11th Gen Core i5,16,512,0,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,4,8,66,54990,71.0,28.12,80,75,53.65,63.13,70.36,63.33,60.54,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,512,0,10-Core GPU,Mac,13.6,2560 x 1664,8,0,45,137990,100.0,35.0,55,75,60.25,68.75,73.5,67.5,67.75,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,fallback
Asus TUF Gaming F15 FA506IHRB-HN079W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,72,55990,62.82,77.12,55,75,69.91,66.27,66.56,66.88,67.37,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus Vivobook S15 OLED S3502ZA-L502WS Laptop,Asus,12th Gen Core i5,16,512,0,Intel Iris XE Graphics,Windows,15.6,1920 x 1080,12,16,65,72000,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Pavilion 14-dv2053TU Laptop,HP,12th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,10,12,60,62278,99.91,28.12,55,75,57.13,67.0,72.78,65.75,65.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Pavilion 15s-fq5010TU Laptop,HP,12th Gen Core i5,8,512,0,Intel Iris Xe,Windows,15.6,1920 x 1080,12,16,62,63350,99.91,28.12,55,75,57.13,67.0,72.78,65.75,65.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo Ideapad Slim 3 81WB01EBIN Laptop,Lenovo,10th Gen Core i3,8,512,0,Intel Integrated,Windows,15.6,1920 x 1080,2,4,60,36490,54.52,1.06,55,75,33.61,44.35,56.46,45.37,41.65,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Pavilion 15s-FQ5009TU Laptop,HP,12th Gen Core i5,8,512,0,Intel Iris Xe,Windows,15.6,1920 x 1080,10,12,59,60500,99.91,28.12,55,75,57.13,67.0,72.78,65.75,65.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Samsung Galaxy Book2 Laptop,Samsung,12th Gen Core i5,8,512,0,4 GB Intel Arc A350M Graphics,Windows,15.6,1920 x 1080,12,16,63,79990,99.91,9.99,55,75,48.97,62.47,70.97,61.22,60.22,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus Strix G15 G513RM-HQ271WS Gaming Laptop,Asus,Ryzen 7 6800H,16,1000,0,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,2560 x 1440,8,16,82,124990,99.56,100.0,80,90,95.39,93.35,91.37,92.87,94.35,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Dell Inspiron 5520 Laptop,Dell,12th Gen Core i5,16,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,12,16,73,79990,99.91,100.0,80,75,93.23,91.22,86.22,89.97,92.22,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop,Asus,12th Gen Core i5,16,512,0,Intel Iris Xe Graphics,Windows,14.0,2880 x 1800,12,16,63,70990,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Pavilion 15-EG2019TX Laptop,HP,12th Gen Core i5,16,512,0,2 GB NVIDIA GeForce MX550,Windows,15.6,1920 x 1080,10,12,60,78200,99.91,50.62,80,75,71.01,78.87,81.28,77.63,77.4,Editing,Mid Budget,"Cocok untuk editing video, desain grafis, dan rendering ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i7,16,512,0,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,10,12,62,79990,100.0,28.12,80,75,60.9,73.28,79.06,72.03,70.69,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,10,12,60,64490,99.91,28.12,55,75,57.13,67.0,72.78,65.75,65.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,8,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,6,12,67,65990,71.0,100.0,55,75,82.25,74.85,71.3,75.05,77.1,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,fallback,benchmark
Lenovo IdeaPad 3 81WQ00MQIN Laptop,Lenovo,Celeron N4020,8,256,0,Intel Integrated UHD,Windows,15.6,1366 x 768,2,2,51,26585,7.3,16.42,55,60,26.46,29.41,38.58,32.04,27.48,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Dell G15-5520 Laptop,Dell,12th Gen Core i5,16,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,12,16,67,84990,99.91,100.0,80,75,93.23,91.22,86.22,89.97,92.22,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Pavilion 15-EG2035TU Laptop,HP,12th Gen Core i5,16,512,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,8,12,67,71999,99.91,16.42,80,75,55.62,70.32,77.86,69.08,67.14,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Acer Nitro 5 AN515-58 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,8,16,69,76109,99.91,100.0,55,75,89.48,84.97,79.97,83.72,87.22,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus TUF Gaming A15 2021 FA506QM-HN124W Laptop,Asus,Ryzen 9 5900HX,16,512,0,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,1920 x 1080,8,16,75,98900,98.35,100.0,80,75,92.84,90.67,85.76,89.5,91.67,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo V15-IGL 82C3A008IH Laptop,Lenovo,Celeron N4020,4,256,0,Intel Integrated UHD,DOS,15.6,1920 x 1080,2,2,43,19990,7.3,16.42,30,60,22.71,23.16,32.33,25.8,22.48,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,16,256,1000,Intel UHD Graphics,Windows,14.0,1366 x 768,4,8,65,76900,71.0,16.42,80,65,46.89,58.7,65.69,58.4,55.53,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",fallback,benchmark
Dell Inspiron 3521 Laptop,Dell,Pentium N5030,8,256,0,Intel Integrated UHD,Windows,15.6,1366 x 768,4,0,49,32033,12.04,16.42,55,60,27.65,31.07,40.0,33.47,29.14,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,16,512,0,AMD Vega,Windows,16.0,1920 x 1200,6,12,72,62490,64.35,35.0,80,75,55.09,62.52,69.05,63.05,60.27,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,fallback
HP 240 G8 Laptop,HP,11th Gen Core i5,8,512,0,Intel Integrated,Windows,14.0,1366 x 768,4,8,51,60618,71.0,1.06,55,75,37.73,50.11,61.41,50.32,47.42,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo E41-55 82FJ009JIH Laptop,Lenovo,Athlon Pro 3045B,4,0,1000,Missing,DOS,14.0,1920 x 1080,2,2,0,18990,33.16,35.0,30,50,36.04,35.36,38.45,36.2,35.61,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi,benchmark,fallback
HP Pavilion 15-eh2018AU Laptop,HP,Ryzen 5 5625U,8,512,0,AMD Radeon Graphics,Windows,15.6,1920 x 1080,6,12,60,52490,64.35,73.06,55,75,68.46,65.79,66.61,66.32,66.69,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Pavilion 14-ec1003AU Laptop,HP,Ryzen 5,8,512,0,AMD Radeon Graphics,Windows,14.0,1920 x 1080,6,12,60,51990,93.83,73.06,55,75,75.83,76.11,75.46,75.16,77.01,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i7,16,512,0,Intel Iris Xe Graphics,Windows,13.3,1080 x 1920,8,16,73,113990,100.0,28.12,80,75,60.9,73.28,79.06,72.03,70.69,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Dell Vostro 3510 Laptop,Dell,11th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,4,8,60,54490,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Asus Vivobook 15 X515MA-BR101W Laptop,Asus,Pentium Quad Core,4,0,1000,Intel UHD,Windows,15.6,1366 x 768,4,0,48,23399,6.88,26.45,30,50,25.62,24.02,29.71,26.18,23.84,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i5,16,512,0,Intel Iris Xe Graphics,Windows,13.3,1080 x 1920,12,16,72,110990,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus Vivobook 13 Slate OLED T3300KA-LQ111WS Laptop,Asus,Pentium Silver N6000,8,256,0,Intel UHD Graphics,Windows,13.3,1920 x 1080,4,4,54,43290,13.24,16.42,55,60,27.95,31.49,40.36,33.83,29.56,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Apple MacBook Air 2020 Z124J002KD Laptop,Apple,Apple M1,16,512,0,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,8,0,53,125990,100.0,25.0,80,75,59.5,72.5,78.75,71.25,69.75,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,fallback
HP 14s-fq1089au Laptop,HP,Ryzen 3 5300U,8,512,0,AMD Radeon Graphics,Windows,14.0,1920 x 1080,4,8,51,40300,43.04,73.06,55,75,63.14,58.33,60.22,59.93,59.23,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP 15s- fq4021TU Laptop,HP,11th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,4,8,54,55499,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Apple MacBook Air 2020 Z124J001KD Laptop,Apple,Apple M1,16,256,0,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,8,0,43,105990,100.0,25.0,80,60,57.25,70.25,73.5,68.25,67.5,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking",benchmark,fallback
HP 15s-eq2143au Laptop,HP,Ryzen 3 5300U,8,512,0,AMD Radeon AMD,Windows,15.6,1920 x 1080,4,8,56,39648,43.04,7.39,55,75,33.59,41.91,53.65,43.51,39.53,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,256,1000,2 GB NVIDIA MX350,Windows,15.6,1920 x 1080,4,8,65,62812,71.0,45.0,55,65,56.0,59.6,62.3,59.3,59.1,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",fallback,fallback
Lenovo IdeaPad 3 82H801L7IN,Lenovo,11th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,53,37952,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Dell Latitude 7410 Laptop,Dell,10th Gen Core i5,8,256,0,Intel UHD Graphics,Windows,14.0,1920 x 1080,4,8,60,77499,99.91,16.42,55,60,49.62,61.82,66.36,59.83,59.89,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP Pavilion 15-EC2145AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce GTX 3050,Windows,15.6,1920 x 1080,6,12,63,64990,73.2,100.0,55,75,82.8,75.62,71.96,75.71,77.87,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Pavilion 15-ec2150AX Laptop,HP,Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,68,59910,73.2,77.12,55,75,72.5,69.9,69.67,69.99,71.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Dell Latitude 5420 Laptop,Dell,11th Gen Core i7,16,512,0,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,4,8,61,112000,86.0,28.12,80,75,57.4,68.38,74.86,67.83,65.79,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
HP 14s-dy2506TU Laptop,HP,11th Gen Core i3,8,256,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,4,8,50,35490,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Lenovo IdeaPad 3 15ITL6 82H801L3IN Laptop,Lenovo,11th Gen Core i3,8,256,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,54,36001,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Infinix INBook X1 XL12 Laptop,Infinix,10th Gen Core i7,16,512,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,4,8,55,46990,100.0,16.42,80,75,55.64,70.36,77.89,69.1,67.18,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus Vivobook X415EA-EB372WS Laptop,Asus,11th Gen Core i3,8,256,1000,Intel UHD Graphics,Windows,14.1,1920 x 1080,2,4,54,38990,54.52,16.42,55,65,39.02,46.69,54.5,47.21,44.76,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Asus VivoBook 15 2021 X515JA-EJ362WS Laptop,Asus,10th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,50,32990,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Pavilion 15-dk2095TX Gaming Laptop,HP,11th Gen Core i5,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,4,8,55,61990,71.0,77.12,55,75,71.95,69.13,69.01,69.33,70.24,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,fallback,benchmark
Apple MacBook Pro 16 inch MK1A3HN Laptop,Apple,M1 Max 10-core CPU,32,1000,0,32-core GPU,Mac,16.2,3456 x 2234,10,0,61,296894,95.85,35.0,95,90,67.46,79.55,87.5,79.26,76.55,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,fallback
Lenovo V15 82C30052IH Laptop,Lenovo,Intel Celeron N4020,4,0,1000,Intel Integrated UHD,DOS,15.6,1920 x 1080,2,2,43,21999,7.3,16.42,30,50,21.21,21.66,28.83,23.8,20.98,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,256,1000,Intel Integrated,Windows,15.6,1920 x 1080,2,4,54,41490,54.52,1.06,55,65,32.11,42.85,52.96,43.37,40.15,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP Pavilion 15-ec2008AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,71,58635,73.2,77.12,55,75,72.5,69.9,69.67,69.99,71.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus VivoBook 15 X515EA-BQ312TS Laptop,Asus,11th Gen Core i3,8,256,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,59,34994,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Xiaomi Mi Notebook Ultra Laptop,Xiaomi,11th Gen Core i5,16,512,0,Intel Iris Xe Graphics,Windows,15.6,3200 x 2000,4,8,66,62999,71.0,28.12,80,75,53.65,63.13,70.36,63.33,60.54,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
MSI Bravo 15 B5DD-043IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,4 GB AMD Radeon RX5500M,Windows,15.6,1920 x 1080,6,12,69,58500,73.2,7.39,55,75,41.13,52.47,62.7,52.56,50.09,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo IdeaPad 3 15ITL6 82H800U5IN Laptop,Lenovo,11th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,55,37600,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Xiaomi RedmiBook e-Learning Edition,Xiaomi,11th Gen Core i3,8,256,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,2,4,55,30990,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Realme Book Slim Laptop,Realme,11th Gen Core i3,8,256,0,Intel UHD Graphics,Windows,14.0,1440 x 2160,2,4,53,46990,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,4,8,61,55850,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Acer Extensa EX215-31 Laptop,Acer,Intel Pentium N5030,4,0,1000,Intel UHD Graphics 605,Windows,15.6,768 x 1366,4,4,0,21990,12.04,16.42,30,50,22.4,23.32,30.25,25.22,22.64,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Asus ROG Flow X13 GV301QH-K5462TS Gaming Laptop,Asus,AMD Ryzen 9,16,1000,0,4 GB NVIDIA GeForce GTX 1650,Windows,13.4,3840 x 2400,8,16,84,105990,100.0,77.12,80,90,85.2,87.78,89.21,87.28,87.64,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo Yoga 9i 82BG005JIN Laptop,Lenovo,11th Gen Core i7,16,1000,0,Intel Iris Xe Graphics,Windows,14.0,3840 x 2160,4,8,67,172990,86.0,28.12,80,90,59.65,70.63,80.11,70.83,68.04,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Dell Inspiron 3501 Laptop,Dell,11th Gen Core i5,8,256,1000,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,4,8,57,61640,71.0,28.12,55,65,48.4,55.38,60.61,55.08,54.04,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",fallback,benchmark
Apple MacBook Air 2020 MGN73HN Laptop,Apple,Apple M1,8,512,0,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,8,0,47,109990,100.0,25.0,55,75,55.75,66.25,72.5,65.0,64.75,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,fallback
