processor_name,graphics,ram(GB),storage_size,storage_type,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category
AMD Ryzen 5 5500U,AMD Radeon,16,512,SSD,62,30,80,80,53.0,61.2,69.6,62.1,58.7,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming
11th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
AMD Ryzen 7 6800H,4 GB NVIDIA GeForce RTX 3050Ti,16,512,SSD,82,70,80,80,76.0,78.2,79.6,78.1,77.7,All-Rounder
12th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
AMD Ryzen 5 5600H,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,72,70,80,80,73.5,74.7,76.6,75.1,74.2,Gaming
Celeron N4020,Intel Integrated UHD,4,256,SSD,22,25,30,65,31.0,31.2,39.35,33.35,30.95,Daily Use
12th Gen Core i5,Intel Integrated UHD,16,512,SSD,71,25,80,80,53.0,63.1,71.8,63.55,60.35,Daily Use
AMD Ryzen 7 5800H,6 GB NVIDIA GeForce RTX 3060,16,512,SSD,78,78,80,80,78.6,78.8,79.2,78.9,78.7,All-Rounder
Athlon Pro 3045B,AMD Radeon Graphics,8,1000,HDD,25,30,55,70,38.5,40.5,48.75,42.75,39.25,Daily Use
12th Gen Core i3,Intel Integrated Iris Xe Graphics,8,256,SSD,54,42,55,65,50.4,52.9,56.9,53.45,52.25,Daily Use
AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
11th Gen Core i5,Intel Integrated UHD,8,512,SSD,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,68,70,80,80,72.5,73.3,75.4,73.9,72.8,Gaming
11th Gen Core i5,4 GB NVIDIA GeForce GTX1650,8,512,SSD,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050 Ti,16,512,SSD,71,73,80,80,74.6,75.1,76.6,75.55,74.75,Gaming
12th Gen Core i5,Intel Integrated ARC,8,512,SSD,71,54,55,80,62.3,64.1,68.45,64.55,64.05,Daily Use
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,512,SSD,81,78,80,80,79.35,79.85,80.1,79.8,79.75,All-Rounder
Ryzen 7 5700U,AMD Radeon Graphics,16,512,SSD,68,30,80,80,54.5,63.3,71.4,63.9,60.8,Daily Use
12th Gen Core i9,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,95,78,80,95,85.1,87.0,89.55,87.0,86.9,All-Rounder
Intel Celeron N4020,Intel HD Graphics,4,128,SSD,22,25,30,50,28.75,28.95,34.1,30.35,28.7,Daily Use
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
Ryzen 5 5500U,AMD Radeon Radeon,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
12th Gen Core i7,Intel Iris X Graphics,16,512,SSD,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing
12th Gen Core i7,4 GB NVIDIA GeForce RTX 3050 Ti,16,1000,SSD,81,73,80,95,79.35,80.85,84.85,81.55,80.5,All-Rounder
AMD Ryzen 3 5425U,AMD Radeon AMD,8,256,SSD,48,30,55,65,43.5,47.8,53.9,48.65,46.55,Daily Use
11th Gen Core i5,Intel Iris XE Graphic,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
AMD Ryzen 3 5425U,AMD Radeon AMD,8,512,SSD,48,30,55,80,45.75,50.05,59.15,51.65,48.8,Daily Use
11th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
12th Gen Core i5,Intel Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
Intel Celeron N4020,Intel Integrated UHD,8,256,SSD,22,25,55,65,34.75,37.45,45.6,39.6,35.95,Daily Use
12th Gen Core i3,Intel Iris Xe,8,256,SSD,54,42,55,65,50.4,52.9,56.9,53.45,52.25,Daily Use
AMD Ryzen 3 3250U,AMD Radeon Radeon,8,256,SSD,32,30,55,65,39.5,42.2,49.1,43.85,40.95,Daily Use
11th Gen Core i7,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,78,70,55,80,71.25,70.55,72.15,70.65,71.3,Gaming
Ryzen 7-4800H,4 GB NVIDIA GeForce GTX 1650 Max Q,16,512,SSD,72,55,80,80,66.75,70.95,75.1,71.35,69.7,Editing
AMD Ryzen 5 5500U,AMD Radeon,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
Ryzen 7 5800H,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,78,70,55,80,71.25,70.55,72.15,70.65,71.3,Gaming
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
11th Gen Core i5,Intel UHD Graphics,8,512,SSD,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,68,70,55,80,68.75,67.05,69.15,67.65,67.8,Gaming
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
Ryzen 3 3250U,AMD Radeon AMD,8,256,SSD,32,30,55,65,39.5,42.2,49.1,43.85,40.95,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
AMD Athlon 3050U,AMD Radeon AMD,8,256,SSD,25,30,55,65,37.75,39.75,47.0,41.75,38.5,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
AMD Ryzen 3 3250U,AMD Radeon,8,512,SSD,32,30,55,80,41.75,44.45,54.35,46.85,43.2,Daily Use
AMD Ryzen3 5425U,AMD Radeon Radeon Graphics,8,512,SSD,35,30,55,80,42.5,45.5,55.25,47.75,44.25,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming
11th Gen Core i9,16 GB NVIDIA GeForce RTX 3080,64,2000,SSD,92,88,100,100,92.6,94.2,96.4,94.6,93.6,All-Rounder
Ryzen 7 5800H,6 GB NVIDIA GeForce RTX 3060,16,512,SSD,78,78,80,80,78.6,78.8,79.2,78.9,78.7,All-Rounder
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
Ryzen 5-5625U,AMD Radeon Graphics,8,512,SSD,66,30,55,80,50.25,56.35,64.55,57.05,55.1,Daily Use
12th Gen Core i7,Intel Iris Xe Graphics,16,1000,SSD,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing
12th Gen Core i7,Intel Iris Xe Graphics,16,1000,SSD,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,32,1000,SSD,81,78,95,95,83.85,85.85,89.1,86.55,85.0,All-Rounder
12th Gen Core i7,4 GB NVIDIA GEFORCE RTX 3050 Ti,16,512,SSD,81,73,80,80,77.1,78.6,79.6,78.55,78.25,All-Rounder
12th Gen Core i7,4 GB NVIDIA GeForce RTX 3050 Ti,16,512,SSD,81,73,80,80,77.1,78.6,79.6,78.55,78.25,All-Rounder
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
11th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,512,SSD,78,78,80,80,78.6,78.8,79.2,78.9,78.7,All-Rounder
11th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
12th Gen Core i3,‎Intel UHD Graphics,8,512,SSD,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use
AMD Ryzen 7 5800H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,78,58,55,80,65.85,67.55,70.95,67.65,67.7,Gaming
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,256,SSD,68,70,80,65,70.25,71.05,70.15,70.9,70.55,Gaming
12th Gen Core i3,Missing,8,256,SSD,54,35,55,65,47.25,51.15,56.2,51.7,50.15,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i7,2 GB NVIDIA GeForce MX550,16,512,SSD,81,46,80,80,64.95,71.85,76.9,71.8,70.15,Editing
Ryzen 7 4800H,4 GB NVIDIA GeForce RTX 3050 Ti,16,1000,SSD,72,73,80,95,77.1,77.7,82.15,78.85,77.35,Gaming
10th Gen Core i5,Intel Integrated UHD Graphics,16,512,SSD,65,25,80,80,51.5,61.0,70.0,61.75,58.25,Daily Use
Ryzen 3 3250U,AMD Radeon Vega 8 Graphics,8,512,SSD,32,34,55,80,43.55,45.45,54.75,47.85,44.4,Daily Use
Ryzen 7-5800H,AMD Radeon Vega 7,16,512,SSD,78,31,80,80,57.45,67.05,74.5,67.15,64.6,Daily Use
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
Ryzen 7 5800H,AMD Radeon Graphics,16,512,SSD,78,30,80,80,57.0,66.8,74.4,66.9,64.3,Daily Use
10th Gen Core i3,Intel Integrated UHD Graphics,8,512,SSD,48,25,55,80,43.5,48.8,58.65,50.4,47.3,Daily Use
Ryzen 7 4800H,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,72,70,55,80,69.75,68.45,70.35,68.85,69.2,Gaming
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
11th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing
Apple M2,10-Core GPU,8,512,SSD,85,35,55,80,57.25,64.25,70.75,64.0,63.25,Daily Use
AMD Ryzen 5 4600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming
12th Gen Core i5,Intel Iris XE Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
12th Gen Core i5,Intel Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
10th Gen Core i3,Intel Integrated,8,512,SSD,48,25,55,80,43.5,48.8,58.65,50.4,47.3,Daily Use
12th Gen Core i5,Intel Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
12th Gen Core i5,4 GB Intel Arc A350M Graphics,8,512,SSD,71,56,55,80,63.2,64.6,68.65,65.05,64.65,Daily Use
Ryzen 7 6800H,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,82,78,80,95,81.85,82.45,85.65,83.1,82.35,All-Rounder
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i5,2 GB NVIDIA GeForce MX550,16,512,SSD,71,46,80,80,62.45,68.35,73.9,68.8,66.65,Editing
12th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing
12th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,68,70,55,80,68.75,67.05,69.15,67.65,67.8,Gaming
Celeron N4020,Intel Integrated UHD,8,256,SSD,22,25,55,65,34.75,37.45,45.6,39.6,35.95,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming
12th Gen Core i5,Intel UHD Graphics,16,512,SSD,71,25,80,80,53.0,63.1,71.8,63.55,60.35,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,71,70,55,80,69.5,68.1,70.05,68.55,68.85,Gaming
Ryzen 9 5900HX,6 GB NVIDIA GeForce RTX 3060,16,512,SSD,84,78,80,80,80.1,80.9,81.0,80.7,80.8,All-Rounder
Celeron N4020,Intel Integrated UHD,4,256,SSD,22,25,30,65,31.0,31.2,39.35,33.35,30.95,Daily Use
11th Gen Core i5,Intel UHD Graphics,16,256,SSD,68,25,80,65,50.0,59.8,65.65,59.65,57.05,Daily Use
Pentium N5030,Intel Integrated UHD,8,256,SSD,27,25,55,65,36.0,39.2,47.1,41.1,37.7,Daily Use
Ryzen 5-5625U,AMD Vega,16,512,SSD,66,35,80,80,56.25,63.85,71.3,64.55,61.6,Daily Use
11th Gen Core i5,Intel Integrated,8,512,SSD,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use
Athlon Pro 3045B,Missing,4,1000,HDD,25,35,30,70,37.0,35.5,43.0,37.75,35.75,Daily Use
Ryzen 5 5625U,AMD Radeon Graphics,8,512,SSD,66,30,55,80,50.25,56.35,64.55,57.05,55.1,Daily Use
Ryzen 5,AMD Radeon Graphics,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
12th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing
11th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
Pentium Quad Core,Intel UHD,4,1000,HDD,27,25,30,70,33.0,33.7,42.6,35.85,33.45,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
Pentium Silver N6000,Intel UHD Graphics,8,256,SSD,30,25,55,65,36.75,40.25,48.0,42.0,38.75,Daily Use
Apple M1,Apple M1 Integrated Graphics,16,512,SSD,75,58,80,80,68.85,72.75,76.3,73.0,71.65,Editing
Ryzen 3 5300U,AMD Radeon Graphics,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
11th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
Apple M1,Apple M1 Integrated Graphics,16,256,SSD,75,58,80,65,66.6,70.5,71.05,70.0,69.4,Gaming
Ryzen 3 5300U,AMD Radeon AMD,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
11th Gen Core i5,2 GB NVIDIA MX350,8,256,SSD,68,40,55,65,53.0,57.3,60.9,57.15,56.55,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
10th Gen Core i5,Intel UHD Graphics,8,256,SSD,65,25,55,65,45.5,52.5,58.5,52.5,51.0,Daily Use
Ryzen 5 5600H,4 GB NVIDIA GeForce GTX 3050,8,512,SSD,72,65,55,80,67.5,67.2,69.85,67.6,67.7,Gaming
Ryzen 5 5600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming
11th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,78,42,80,80,62.4,69.8,75.6,69.9,67.9,Editing
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
10th Gen Core i7,Intel Integrated UHD,16,512,SSD,75,25,80,80,54.0,64.5,73.0,64.75,61.75,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
10th Gen Core i3,Intel Integrated UHD,8,512,SSD,48,25,55,80,43.5,48.8,58.65,50.4,47.3,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming
M1 Max 10-core CPU,32-core GPU,32,1000,SSD,90,35,95,95,66.75,78.25,87.5,78.5,75.25,Editing
Intel Celeron N4020,Intel Integrated UHD,4,1000,HDD,22,25,30,70,31.75,31.95,41.1,34.35,31.7,Daily Use
11th Gen Core i3,Intel Integrated,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
Ryzen 5 5600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
11th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing
Ryzen 5 5600H,4 GB AMD Radeon RX5500M,8,512,SSD,72,30,55,80,51.75,58.45,66.35,58.85,57.2,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
11th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
Intel Pentium N5030,Intel UHD Graphics 605,4,1000,HDD,27,20,30,70,30.75,32.45,42.1,34.6,31.95,Daily Use
AMD Ryzen 9,4 GB NVIDIA GeForce GTX 1650,16,1000,SSD,88,58,80,95,74.35,79.55,85.45,79.9,78.45,Editing
11th Gen Core i7,Intel Iris Xe Graphics,16,1000,SSD,78,42,80,95,64.65,72.05,80.85,72.9,70.15,Editing
11th Gen Core i5,Intel Iris Xe Graphics,8,256,SSD,68,42,55,65,53.9,57.8,61.1,57.65,57.15,Daily Use
Apple M1,Apple M1 Integrated Graphics,8,512,SSD,75,58,55,80,65.1,66.5,70.05,66.75,66.65,Gaming
10th Gen Core i3,Intel Integrated UHD,4,1000,HDD,48,25,30,70,38.25,41.05,48.9,42.15,40.8,Daily Use
V4G-00021) Laptop ,AMD Radeon Vega 9,8,128,SSD,35,30,55,50,38.0,41.0,44.75,41.75,39.75,Daily Use
7YY01PA) Laptop ,2 GB Radeon RX 550,8,512,SSD,35,30,55,80,42.5,45.5,55.25,47.75,44.25,Daily Use
11th Gen Core i5,Intel UHD Graphics,16,256,SSD,68,25,80,65,50.0,59.8,65.65,59.65,57.05,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
AMD Ryzen 3 5300U,AMD Radeon Graphics,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming
AMD Ryzen 5 5600H,4 GB AMD Radeon RX 6500M Graphics,8,512,SSD,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,16,512,SSD,68,58,80,80,67.1,70.3,74.2,70.9,69.2,Editing
12th Gen Core i9,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,95,78,80,95,85.1,87.0,89.55,87.0,86.9,All-Rounder
AMD Ryzen 5 5600H,6 GB NVIDIA GeForce RTX3060,16,512,SSD,72,78,80,80,77.1,76.7,77.4,77.1,76.6,Gaming
AMD Ryzen 7 6800H,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,82,78,80,95,81.85,82.45,85.65,83.1,82.35,All-Rounder
12th Gen Core i7,4 GB NVIDIA GeForce RTX 3050Ti,16,512,SSD,81,70,80,80,75.75,77.85,79.3,77.8,77.35,All-Rounder
12th Gen Core i9,8 GB NVIDIA GeForce RTX 3070Ti,16,1000,SSD,95,84,80,95,87.8,88.5,90.15,88.5,88.7,All-Rounder
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i7,Intel Iris X Graphics,16,512,SSD,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing
AMD Ryzen 7 5800U,AMD Radeon,16,512,SSD,70,30,80,80,55.0,64.0,72.0,64.5,61.5,Daily Use
M2 Pro 12-core CPU,19-core GPU,16,1000,SSD,90,35,80,95,64.5,74.5,83.75,74.75,72.25,Editing
M2 Pro 12-core CPU,19-core GPU,16,512,SSD,90,35,80,80,62.25,72.25,78.5,71.75,70.0,Editing
M2 Max 12-core CPU,30-core GPU,32,1000,SSD,94,35,95,95,67.75,79.65,88.7,79.7,76.65,Editing
M2 Pro 12-core CPU,19-core GPU,16,1000,SSD,90,35,80,95,64.5,74.5,83.75,74.75,72.25,Editing
M2 Pro 10-core CPU,16-core GPU,16,512,SSD,90,35,80,80,62.25,72.25,78.5,71.75,70.0,Editing
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
Apple M2,10 Core GPU,16,256,SSD,85,35,80,65,58.75,68.25,71.75,67.25,66.0,Daily Use
Apple M2,10-Core GPU,16,512,SSD,85,35,80,80,61.0,70.5,77.0,70.25,68.25,Editing
Apple M2,10-Core GPU,16,256,SSD,85,35,80,65,58.75,68.25,71.75,67.25,66.0,Daily Use
12th Gen Core i5,Intel Integrated UHD,16,512,SSD,71,25,80,80,53.0,63.1,71.8,63.55,60.35,Daily Use
12th Gen Core i9,16 GB NVIDIA GeForce RTX 3080 Ti,32,1000,SSD,95,92,95,95,93.65,94.25,94.7,94.25,94.1,All-Rounder
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
AMD Ryzen 3 5425U,AMD Radeon AMD,8,256,SSD,48,30,55,65,43.5,47.8,53.9,48.65,46.55,Daily Use
AMD Ryzen 3 3250U,AMD Radeon Graphics,8,512,SSD,32,30,55,80,41.75,44.45,54.35,46.85,43.2,Daily Use
12th Gen Core i3,Intel Integrated UHD,8,512,SSD,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
11th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing
12th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
12th Gen Core i5,Intel UHD Graphics,16,512,SSD,71,25,80,80,53.0,63.1,71.8,63.55,60.35,Daily Use
12th Gen Core i5,2 GB NVIDIA MX550 Graphics,8,256,SSD,71,46,55,65,56.45,59.85,62.4,59.55,59.4,Daily Use
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i7,Intel Integrated Iris Xe,16,1000,SSD,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,71,70,55,80,69.5,68.1,70.05,68.55,68.85,Gaming
Ryzen 5 5625U,AMD Radeon Graphics,16,512,SSD,66,30,80,80,54.0,62.6,70.8,63.3,60.1,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
Ryzen 7 5800U,AMD Radeon Graphic,16,512,SSD,70,30,80,80,55.0,64.0,72.0,64.5,61.5,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
AMD Ryzen 7 6800HS,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,82,78,80,95,81.85,82.45,85.65,83.1,82.35,All-Rounder
12th Gen Core i5,Intel UHD Graphics,8,512,SSD,71,25,55,80,49.25,56.85,65.55,57.3,55.35,Daily Use
AMD R5-5625U,AMD Radeon Radeon Graphics,16,512,SSD,35,30,80,80,46.25,51.75,61.5,54.0,49.25,Daily Use
AMD Ryzen 5-5625U,AMD Radeon Radeon Graphics,8,512,SSD,66,30,55,80,50.25,56.35,64.55,57.05,55.1,Daily Use
12th Gen Core i3,Intel UHD Graphics,8,512,SSD,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use
